Id DateOfTraveling(hh:mm) AmountOfRoad(km) LiterOfFuel(lt)
1 "06:00" 100 70
2 "06:00" 100 27
3 "06:00" 100 28
4 "06:00" 100 29
5 "06:00" 100 30
6 "06:30" 100 28
7 "06:30" 100 82
8 "06:30" 100 29
9 "06:30" 100 32
10 "06:30" 100 28
11 "10:30" 200 66
12 "10:30" 200 58
13 "10:30" 200 60
14 "10:30" 200 54
15 "10:30" 200 56
16 "11:00" 200 58
17 "11:00" 200 60
18 "11:00" 200 56
19 "11:00" 200 62
20 "11:00" 200 58
21 "11:30" 300 96
22 "11:30" 300 84
23 "11:30" 300 99
24 "11:30" 300 87
25 "11:30" 300 93
26 "12:00" 300 81
27 "12:00" 300 81
28 "12:00" 300 84
29 "12:00" 300 90
30 "12:00" 300 87
31 "12:30" 50 15
32 "12:30" 50 15.5
33 "12:30" 50 13.5
34 "12:30" 50 16
35 "12:30" 50 14
36 "13:00" 50 13.5
37 "13:00" 50 16
38 "13:00" 50 15
39 "13:00" 50 15
40 "13:00" 50 15
41 "13:30" 110 34.1
42 "13:30" 110 35.2
43 "13:30" 110 30.8
44 "13:30" 110 30.8
45 "13:30" 110 30.8
46 "14:00" 110 31.9
47 "14:00" 110 31.9
48 "14:00" 110 31.9
49 "14:00" 110 31.9
50 "14:00" 110 29.7
51 "14:30" 100 31
52 "14:30" 100 32
53 "14:30" 100 32
54 "14:30" 100 32
55 "14:30" 100 31
56 "15:00" 100 31
57 "15:00" 100 30
58 "15:00" 100 30
59 "15:00" 100 32
60 "15:00" 100 32
61 "15:30" 250 67.5
62 "15:30" 250 72.5
63 "15:30" 250 67.5
64 "15:30" 250 70
65 "15:30" 250 70
66 "20:30" 250 72.5
67 "20:30" 250 67.5
68 "20:30" 250 80
69 "20:30" 250 80
70 "20:30" 250 80
71 "21:00" 220 68
72 "21:00" 220 68
73 "21:00" 220 68.2
74 "21:00" 220 68.2
75 "21:00" 220 68.2
76 "21:30" 220 66
77 "21:30" 220 66
78 "21:30" 220 65
79 "21:30" 220 66
80 "21:30" 220 61.6
81 "22:00" 140 39.2
82 "22:00" 140 39.2
83 "22:00" 140 40.6
84 "22:00" 140 37.8
85 "22:00" 140 37.8
86 "22:30" 140 40.6
87 "22:30" 140 39.2
88 "22:30" 140 40.6
89 "22:30" 140 37.8
90 "22:30" 140 43.4
91 "23:00" 140 43.4
92 "23:00" 140 43.4
93 "23:00" 140 43.4
94 "23:00" 140 43.4
95 "23:00" 140 42
96 "23:30" 140 42
97 "23:30" 140 42
98 "23:30" 140 42
99 "23:30" 140 42
100 "23:30" 140 43.4
101 "00:00" 170 54.4
102 "00:00" 170 49.3
103 "00:00" 170 49.4
104 "00:00" 170 49.5
105 "00:00" 170 49
106 "00:30" 170 52.7
107 "00:30" 170 105.4
108 "00:30" 170 52.7
109 "00:30" 170 51
110 "00:30" 170 51
111 "01:00" 170 51
112 "01:00" 170 51
113 "01:00" 170 51
114 "01:00" 170 45.6
115 "01:00" 170 45.9
116 "01:30" 170 45.9
117 "01:30" 170 45.8
118 "01:30" 170 47.6
119 "01:30" 170 49.3
120 "01:30" 100 29
121 "02:00" 100 28
122 "02:00" 100 28
123 "02:00" 100 28
124 "02:00" 100 27
125 "02:00" 100 28
126 "02:30" 100 30
127 "02:30" 100 30
128 "02:30" 100 30
129 "02:30" 100 32
130 "02:30" 100 32
131 "03:00" 100 29
132 "03:00" 100 32
133 "03:00" 100 27
134 "03:00" 100 32
135 "03:00" 100 67
136 "03:30" 100 30
137 "03:30" 100 31
138 "03:30" 100 30
139 "03:30" 100 29
140 "03:30" 100 30
141 "04:00" 100 29
142 "04:00" 100 29
143 "04:00" 100 5
144 "04:00" 100 32
145 "04:00" 100 32
146 "04:30" 100 29
147 "04:30" 100 30
148 "04:30" 100 30
149 "04:30" 100 31
150 "04:30" 100 31
151 "05:00" 100 32
152 "05:00" 100 32
153 "05:00" 100 32
154 "05:00" 100 32
155 "05:00" 100 29
156 "05:30" 100 29
157 "05:30" 100 29
158 "05:30" 100 28
159 "05:30" 100 30
160 "05:30" 200 30
161 "07:00" 100 45
162 "07:00" 100 50
163 "07:30" 100 48
164 "07:30" 100 49
165 "07:30" 100 50
166 "08:00" 100 51
167 "08:00" 100 43
168 "08:00" 100 46
169 "08:00" 100 47
170 "08:00" 100 48
171 "08:30" 100 49
172 "08:30" 100 50
173 "08:30" 100 44
174 "09:00" 100 39
175 "09:00" 100 28
176 "09:00" 100 39
177 "09:30" 100 38
178 "09:30" 100 39
179 "09:30" 100 38
180 "10:00" 100 29
181 "10:00" 100 37
182 "10:30" 100 41
183 "10:30" 100 40
184 "16:00" 100 40
185 "16:00" 100 40
186 "16:00" 100 37
187 "16:30" 100 38
188 "17:00" 100 44
189 "17:30" 100 45
190 "17:30" 100 30
191 "18:00" 100 47
192 "18:00" 100 46
193 "18:30" 100 45
194 "18:30" 100 48
195 "19:00" 100 50
196 "19:00" 100 51
197 "19:30" 100 50
198 "19:30" 100 48
199 "20:00" 100 29
200 "20:00" 100 70
201 "21:00" 1000 300
202 "21:00" 2000 600
203 "21:00" 1000 290
204 "21:00" 1500 450
205 "21:00" 1000 310
206 "21:00" 2000 610
207 "13:00" 20 5.8
208 "13:00" 30 8.4
209 "13:00" 10 3
210 "13:00" 10 2.9
211 "21:00" 1000 300
212 "14:00" 100 30
213 "21:00" 100 31
214 "21:00" 100 31
215 "14:00" 200 60
216 "21:00" 100 29
217 "21:00" 100 31
218 "13:00" 10 3
219 "13:00" 2000 600
220 "13:00" 150 45
